"id","question_text","question_act_ind","last_updated_by","last_updated_dts","question_mandatory_ind","question_decision_ind","question_type_id","questionnaire_id","document_id"
"12","What is the testing strategy used?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"13","What is the Testing & QA Process?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"14","What are the test environments available?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"15","How is test data managed?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"16","How is the data refreshed in the test databases? What is the frequency of refresh?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"17","How is the privacy data handled/masked in the test data?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"18","What are the Unit/System Testing tool (e.g. Nunit)?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"19","What are the Performance Testing tool (e.g.  Mercury Loadrunner)?","true","1","2020-06-04T05:47:26","NULL","false","3","1","NULL"
"20","What is the document management tool used for key documents of the application? Please provide access to the Infosys transition team","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"21","Who owns the documentation ? is it owned by the client or is there any IP  with an incumbent or third party? How will the document ownership impact transition? ","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"22","What is the quality and recency of the documentation available?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"23","Support Plan Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"24","Please provide latest version, last date of revision and  Link to access the support plan?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"25","Pevious Transition document (Application Information Document) Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"26","Please provide latest version, last date of revision and  Link to access the Pevious Transition document (Application Information Document) ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"27","Requirements Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"28","Please provide latest version, last date of revision and  Link to access the Requirements Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"29","Functional Design Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"30","Please provide latest version, last date of revision and  Link to access the Functional Design Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"31","Technical Design Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"32","Please provide latest version, last date of revision and  Link to access the Technical Design Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"33","Architecture Design Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"34","Please provide latest version, last date of revision and  Link to access the Architecture Design Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"35","Database Design Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"36","Please provide latest version, last date of revision and  Link to access the Database Design Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"37","Program Specs & Non-Functional requirements (NFR) Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"38","Please provide latest version, last date of revision and  Link to access the Program Specs & Non-Functional requirements (NFR) Document  ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"39","UI, Workflow and Satndards Document Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"40","Please provide latest version, last date of revision and  Link to access the UI, Workflow and Satndards Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"41","Coding Standards Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"42","Please provide latest version, last date of revision and  Link to access the Coding Satndards Document ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"43","Test Plans Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"44","Please provide latest version, last date of revision and  Link to access the Test Plans ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"45","User Manual Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"46","Please provide latest version, last date of revision and  Link to access the User Manual?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"47","Installation Manuals Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"48","Please provide latest version, last date of revision and  Link to access the Installation Manual?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"49","Document describing monitoring set up of the application Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"50","Please provide latest version, last date of revision and  Link to access the monitoring set up of the application?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"51","Training Guides/Manuals/Documentation Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"52","Please provide latest version, last date of revision and  Link to access the Training Guides/Manuals/Documentation ?","true","1","2020-06-04T05:50:02","NULL","false","3","7","NULL"
"53","Operational/Release/Process Manual Availability (Y/N)?","true","1","2020-06-04T05:50:02","NULL","false","2","7","NULL"
"54","Please provide latest version, last date of revision and  Link to access the Operational/Release/Process Manual ?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"55","backup/ restore procedure documentation availability?","true","1","2020-06-04T05:50:03","NULL","false","2","7","NULL"
"56","Please provide latest version, last date of revision and  Link to access the backup/ restore procedure documentation ?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"57","Business continuity/disaster recovery procedures documentation availability?","true","1","2020-06-04T05:50:03","NULL","false","2","7","NULL"
"58","Please provide latest version, last date of revision and  Link to access the usiness continuity/disaster recovery procedures documentation ?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"59","Third Party Software/Products Manual Availability (Y/N)?","true","1","2020-06-04T05:50:03","NULL","false","2","7","NULL"
"60","Please provide latest version, last date of revision and  Link to access the Third Party Software/Products Manual ?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"61","please provide the glossary of terms and abbreviations used in reference to the application?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"62","Please provide code repository location for each application and module","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"63","Please list all other documents availabile for the applications along with their links?","true","1","2020-06-04T05:50:03","NULL","false","3","7","NULL"
"64","Who is the client application cluster owner (Technical & Business)?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"65","Please provide a brief overview of application- business and technology","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"66","When was the application first implemeted?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"67","Is there a planned decomissioning date?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"68","Please validate the scope of services for the application e.g Development, support etc?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"69","Please provide the language(s) in which the documentation is available? ","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"70","Please provide the language support required by the application (UI/Data etc)?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"71","Please provide the language support required for the users and/or other teams involved?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"72","What is the support & dev methodology used e.g. Agile, DevOps, ITIL, Waterfall Development etc","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"73","What is the current IT team structure for support, enhancements and development?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
"74","Where is the IT team located?","true","1","2020-06-04T05:51:56","NULL","false","3","8","NULL"
